"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300921","Brieven van N.C. Valke over klachten over de secretaresse van de N.V. Bootbouwerij de Amstel","N.C. Valke","brief","correspondent","Het Scheepvaartmuseum","","Amsterdam","Q135300921"
"http://www.wikidata.org/entity/Q135300918","Brief van Mrs. Walter E. Whitaker aan Mevrouw D. Legger-van Peer, 1941","Mrs. Walter E. Whitaker","brief","correspondent","Het Scheepvaartmuseum","","","Q135300918"
"http://www.wikidata.org/entity/Q135300908","Factuur van Martin Chr. Martin Chr. Schmidt voor G. Brüning & Zoon te Amsterdam","Martin Chr. Schmidt","factuur","","Het Scheepvaartmuseum","","Tallinn","Q135300908"
"http://www.wikidata.org/entity/Q135300897","Menukaart voor diner aan boord van het ss. 'Volendam' van de Holland-Amerika Lijn op 9 augustus 1937","M. Setelik","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1937","","Q135300897"
"http://www.wikidata.org/entity/Q135300893","Wissel van M. Schmierer voor G. Brüning & Zoon te Amsterdam","M. Schmierer","wissel","","Het Scheepvaartmuseum","","Galați","Q135300893"
"http://www.wikidata.org/entity/Q135300895","Krijgsraad aan boord van een Japans oorlogsschip tijdens de Japans-Chinese oorlog","M. Segikutshi","prent","prentkunstenaar","Het Scheepvaartmuseum","1894","","Q135300895"
"http://www.wikidata.org/entity/Q135300889","Kwitantie van M.L. Ginzberg voor G. Brüning & Zoon te Amsterdam","M.L. Ginzberg","kwitantie","","Het Scheepvaartmuseum","","Königsberg in Bayern","Q135300889"
"http://www.wikidata.org/entity/Q135300888","Het vrachtschip met passagiersaccommodatie ms. ""Bloemfontein""","M. Kattenberg","tekening","tekenaar","Het Scheepvaartmuseum","1939","","Q135300888"
"http://www.wikidata.org/entity/Q135300884","Scrapbook met oa prentbriefkaarten en foto's van reizen gemaakt door M.H. ten Kuilen in 1907-1908 naar Nederlands-Indië","M.H. ten Kuilen","fotoalbum","fotograaf","Het Scheepvaartmuseum","1907","","Q135300884"
"http://www.wikidata.org/entity/Q135300881","Het raderstoomschip 'Le Castor'","M.E. Renaud","prent","prentkunstenaar","Het Scheepvaartmuseum","","","Q135300881"
